,condition,date,price_log,bedrooms,bathrooms,waterfront,sqft_living,floors,zipcode,grade_int,yr_built
3266,Good,2015-01-27,13.599218481599166,3,1.0,0.0,1440,1.0,98004,7,1952
3267,Average,2015-02-04,13.13675925768806,3,1.75,0.0,1400,1.0,98126,6,1915
3268,Average,2014-12-02,13.592367006650065,4,2.5,0.0,4600,2.0,98053,10,1990
3269,Good,2014-09-03,13.304684934198283,3,2.25,0.0,2100,2.0,98008,8,1979
3270,Average,2015-03-17,13.34997692338999,4,1.75,0.0,2010,1.0,98074,9,1982
3271,Very Good,2014-06-24,13.399995114002609,2,2.25,0.0,2550,2.0,98115,7,1902
3272,Average,2014-10-09,11.94147538979235,2,2.5,0.0,1240,2.0,98003,7,1986
3273,Average,2015-01-20,13.03134397901716,3,2.25,0.0,2090,1.0,98034,7,1975
3274,Average,2014-08-01,14.085537695177335,5,2.5,0.0,2770,2.0,98004,9,2002
3275,Average,2014-12-07,13.64531518096816,3,2.5,0.0,3560,2.0,98052,11,1997
3276,Average,2014-08-18,13.345506928718539,3,1.0,0.0,1240,1.0,98103,7,1925
3277,Average,2014-06-11,13.1749558275235,2,1.75,0.0,1640,1.0,98105,7,1921
3278,Good,2015-02-26,14.493544100714171,5,3.75,0.0,3940,1.5,98004,9,1951
3279,Good,2015-03-26,13.815510557964274,5,2.5,0.0,3150,2.0,98005,9,1969
3280,Average,2015-02-25,13.658856747918897,4,3.0,0.0,2550,2.0,98117,8,1908
3281,Average,2014-06-20,13.493926933836812,4,3.25,0.0,3940,2.0,98059,9,2000
3282,Average,2014-10-15,12.66032791780777,1,1.0,0.0,580,1.0,98126,6,2000
3283,Average,2014-09-24,12.100712129872347,3,1.75,0.0,1330,1.0,98001,7,1978
3284,Average,2015-03-13,13.458835614025542,2,1.0,0.0,930,1.0,98136,7,1926
3285,Good,2014-08-11,13.074223002076394,3,1.0,0.0,1060,2.0,98033,7,1962
3286,Average,2014-06-03,12.170445467887022,3,1.5,0.0,1180,1.0,98148,7,1960
3287,Average,2014-08-19,12.594730635321957,4,2.5,0.0,1850,2.0,98030,7,1990
3288,Good,2014-07-31,12.802158113246987,2,1.0,0.0,820,1.0,98136,6,1925
3289,Good,2015-01-29,13.681979165339751,4,2.5,0.0,3600,2.0,98077,11,1990
3290,Good,2014-05-14,12.457609271345602,3,2.0,0.0,1850,1.0,98002,7,1952
3291,Average,2014-09-29,13.226723392728571,3,2.0,0.0,2240,1.0,98008,8,1968
3292,Good,2014-06-24,12.84792653170257,3,2.25,0.0,1860,2.0,98022,7,1963
3293,Average,2014-07-25,12.54966234992025,4,2.75,0.0,2390,2.0,98023,7,1989
3294,Average,2014-06-06,13.208541073645382,4,2.5,0.0,2040,2.0,98115,7,1990
3295,Average,2014-06-06,13.217673557208654,3,1.5,0.0,1900,1.5,98115,7,1926
3296,Average,2015-03-13,13.733758056092014,3,1.5,0.0,1900,1.5,98115,7,1926
3297,Very Good,2015-05-12,13.693342923990066,3,1.5,0.0,2200,2.0,98112,7,1904
3298,Average,2014-05-29,13.617059619240436,4,2.25,0.0,2280,1.5,98119,8,1940
3299,Very Good,2014-05-13,12.57418196709457,3,1.0,0.0,1090,1.0,98056,6,1981
3300,Average,2015-02-13,12.718896271958837,1,1.0,0.0,670,1.0,98116,7,1942
3301,Very Good,2014-10-28,12.235631447771718,3,1.0,0.0,1050,1.0,98010,5,1906
3302,Average,2014-06-30,13.106132364293911,3,2.25,0.0,2090,1.0,98115,7,1958
3303,Average,2014-11-13,12.971540487669746,3,2.5,0.0,2030,2.0,98024,8,2003
3304,Good,2014-07-18,12.245293358683455,3,2.0,0.0,1250,1.0,98042,7,1980
3305,Average,2014-07-08,12.409013489526863,4,2.25,0.0,2600,1.0,98023,8,1978
3306,Good,2015-03-18,12.962194625251508,2,1.0,0.0,640,1.0,98117,6,1918
3307,Average,2014-08-01,12.89921982609012,3,2.5,0.0,2120,2.0,98059,7,2006
3308,Average,2015-04-14,13.223113280504473,3,1.0,0.0,1330,1.0,98115,7,1942
3309,Average,2015-03-31,12.598114733306197,2,1.0,0.0,750,1.0,98117,5,1948
3310,Good,2015-02-17,12.966878474563934,3,2.5,0.0,2230,1.0,98042,8,1977
3311,Average,2014-05-06,12.691580461311874,4,2.5,0.0,1890,1.0,98106,7,1980
3312,Very Good,2014-07-21,12.591335046320818,2,1.0,0.0,820,1.0,98133,6,1952
3313,Good,2015-03-19,12.92391243868049,3,1.75,0.0,1880,1.0,98059,7,1977
3314,Good,2014-06-03,13.287877815881902,4,4.25,0.0,2360,2.0,98003,8,1939
3315,Good,2014-11-20,13.005829561148378,3,2.25,0.0,1850,2.0,98029,7,1985
3316,Good,2015-03-25,13.733215315237445,4,2.5,0.0,2310,2.0,98122,8,1928
3317,Average,2015-03-04,13.114331205707064,3,1.5,0.0,2520,1.0,98045,8,1955
3318,Average,2014-12-12,11.461632170582678,2,1.0,0.0,800,1.0,98198,7,1947
3319,Good,2014-09-25,12.791077667470416,4,1.75,0.0,1580,1.0,98126,6,1945
3320,Good,2014-05-02,13.022543042122118,3,2.5,0.0,2430,1.0,98045,7,1985
3321,Good,2014-12-02,13.226723392728571,4,1.75,0.0,2350,1.5,98116,7,1946
3322,Good,2014-09-24,13.217491722495906,5,3.0,0.0,3800,1.5,98042,9,1984
3323,Very Good,2014-06-10,13.251635713108469,5,3.0,0.0,3670,1.0,98155,8,1952
3324,Very Good,2014-07-16,12.671377753994355,4,2.0,0.0,1780,1.0,98058,7,1974
3325,Average,2014-06-11,13.09607689527849,2,1.5,0.0,1295,2.0,98112,9,2007
3326,Good,2014-10-15,12.388394202324129,3,1.0,0.0,1350,1.0,98032,7,1959
3327,Average,2015-02-02,12.441144767709657,3,2.25,0.0,1440,1.0,98030,7,1965
3328,Good,2014-08-31,12.84792653170257,5,1.75,0.0,1320,1.0,98198,7,1947
3329,Good,2015-04-06,12.429216196844383,2,0.75,0.0,700,1.0,98092,6,1958
3330,Average,2014-10-10,12.817195990611529,2,1.75,0.0,2510,2.0,98092,9,1977
3331,Average,2015-02-11,12.736700896592344,3,1.0,0.0,3180,1.0,98022,8,1969
3332,Average,2015-04-27,12.89921982609012,2,1.0,0.0,910,1.0,98136,7,1918
3333,Very Good,2014-09-16,13.635187003832993,3,2.0,0.0,1570,1.5,98117,8,1927
3334,Average,2014-12-01,12.608198852372823,3,2.5,0.0,2450,2.0,98023,8,1993
3335,Very Good,2014-11-07,14.334304351379442,6,2.25,0.0,4910,2.5,98102,10,1910
3336,Average,2014-05-14,12.487485104968359,3,2.0,0.0,1570,1.0,98092,7,1998
3337,Average,2014-11-11,12.988831984779805,4,2.5,0.0,2680,2.0,98059,8,1998
3338,Average,2014-06-04,13.670484785914017,3,1.75,0.0,2090,2.0,98199,7,1947
3339,Average,2015-03-11,13.347105650082236,3,2.0,0.0,2150,1.0,98029,8,1988
3340,Average,2014-10-28,12.418357453509508,2,2.0,0.0,1140,2.0,98144,7,2009
3341,Average,2014-06-23,14.547878451677501,4,3.5,0.0,4230,2.0,98004,11,1997
3342,Fair,2014-10-01,12.959844447906553,3,1.0,0.0,1790,1.5,98108,8,1937
3343,Average,2014-06-25,13.715690222682063,5,3.5,0.0,3100,1.0,98008,9,1970
3344,Average,2014-08-27,13.371174675467117,3,2.5,0.0,2220,3.0,98117,10,1990
3345,Average,2015-03-31,13.422467969854667,4,2.5,0.0,2370,2.0,98027,8,1984
3346,Average,2014-06-13,13.64709190633931,4,2.75,0.0,4070,2.0,98045,9,2002
3347,Good,2014-09-07,12.902962812368953,4,1.0,0.0,1790,1.0,98133,7,1954
3348,Average,2014-09-23,12.886641043883259,3,2.5,0.0,1610,2.0,98052,7,1987
3349,Very Good,2015-03-06,13.9108207377686,5,2.75,0.0,2830,1.0,98040,7,1958
3350,Average,2014-05-29,11.884489021402711,3,1.0,0.0,1010,1.0,98168,6,1954
3351,Average,2015-04-16,13.710150042306449,3,1.0,0.0,1560,1.5,98117,8,1930
3352,Good,2015-01-12,12.833347081939412,3,1.5,0.0,1330,1.0,98034,7,1968
3353,Good,2014-11-18,13.652991628466498,4,2.25,0.0,2330,2.0,98005,8,1965
3354,Average,2015-04-25,13.102160670086809,3,1.0,0.0,960,1.0,98116,7,1951
3355,Average,2015-04-27,12.624782980388359,3,2.5,0.0,1710,2.0,98003,8,1993
3356,Good,2014-07-03,12.89921982609012,4,2.25,0.0,2230,1.0,98133,7,1963
3357,Average,2014-11-14,13.025852477023484,3,2.0,0.0,1700,2.0,98011,8,1992
3358,Fair,2014-12-24,11.982929094215963,2,2.0,0.0,1040,1.0,98118,6,1950
3359,Average,2014-07-08,13.203021280421783,3,1.75,0.0,1070,1.0,98052,7,1966
3360,Good,2014-06-18,12.90793176669214,5,2.5,0.0,3600,1.0,98166,8,1968
3361,Average,2015-03-16,12.943236711506893,4,2.5,0.0,2750,2.0,98038,7,2003
3362,Average,2015-03-26,12.91410843858387,4,1.5,0.0,1920,2.0,98198,7,1951
3363,Average,2014-09-23,12.398756989359676,3,2.25,0.0,1770,1.0,98198,7,1978
3364,Average,2015-04-07,12.959844447906553,4,2.5,0.0,2460,2.0,98058,9,2003
3365,Average,2014-05-15,13.32612021491835,4,2.0,0.0,1550,1.5,98103,7,1909
3366,Fair,2014-12-30,12.14950229404178,3,2.0,0.0,1460,1.0,98045,7,1995
3367,Average,2014-10-30,13.458835614025542,4,2.25,0.0,2440,1.5,98125,7,1947
3368,Good,2014-09-02,13.527828485512494,3,1.0,0.0,1640,1.5,98103,7,1935
3369,Good,2014-07-07,13.110290796170059,2,1.0,0.0,1290,1.0,98115,7,1906
3370,Average,2014-06-09,13.458835614025542,4,3.0,0.0,3150,2.0,98075,9,2000
3371,Average,2015-04-03,13.465953081794405,2,2.5,0.0,2305,1.0,98077,8,2007
3372,Average,2014-05-22,12.782686009834167,2,1.75,0.0,1060,1.0,98072,7,1977
3373,Good,2014-05-22,13.345506928718539,3,1.75,0.0,2060,1.0,98052,7,1984
3374,Average,2015-03-12,11.884316592744641,2,1.0,0.0,900,1.0,98198,5,1940
3375,Average,2014-07-28,13.785051350479566,4,4.5,0.0,3890,2.0,98029,11,2004
3376,Average,2014-06-06,12.936033799212835,3,1.75,0.0,1910,1.0,98072,7,1977
3377,Good,2014-05-05,13.091904169919621,4,3.0,0.0,2340,1.0,98034,8,1979
3378,Average,2014-11-07,13.592304504696857,3,3.0,0.0,2900,2.0,98052,10,1997
3379,Average,2015-04-29,13.571334873821634,4,2.5,0.0,3290,2.0,98077,10,1991
3380,Average,2014-12-19,12.971540487669746,1,1.0,0.0,630,1.0,98109,7,1943
3381,Good,2014-11-24,14.74767463899472,5,4.75,0.0,5410,2.0,98112,10,1941
3382,Average,2014-06-18,13.790192749979985,4,2.5,0.0,4270,1.0,98053,10,1991
3383,Average,2015-05-05,13.764217263576723,3,1.5,0.0,1700,1.0,98004,7,1950
3384,Average,2014-08-06,12.765688433465597,2,1.0,0.0,1430,1.5,98177,7,1944
3385,Average,2014-11-03,13.3645249345543,4,2.75,0.0,2850,2.0,98125,8,2008
3386,Average,2015-02-19,13.704578997256993,3,2.0,0.0,2160,1.0,98059,10,1991
3387,Very Good,2014-12-05,13.269057756555132,2,2.0,0.0,1760,1.0,98118,7,1946
3388,Average,2014-06-24,12.660010407089116,4,1.75,0.0,2700,1.0,98003,7,1958
3389,Average,2015-01-27,11.711776323715394,2,1.0,0.0,860,1.0,98022,6,1945
3390,Very Good,2014-08-08,12.911642346088676,2,1.0,0.0,880,1.0,98103,7,1927
3391,Average,2014-05-08,13.224287997126254,2,2.5,0.0,1360,2.0,98112,8,1997
3392,Average,2015-02-03,12.820987977820545,2,2.5,0.0,1770,3.0,98126,8,2007
3393,Good,2014-05-28,12.323855681186558,3,2.0,0.0,2030,1.0,98001,7,1979
3394,Average,2014-05-27,11.982929094215963,2,1.0,0.0,1180,1.0,98178,6,1918
3395,Average,2014-10-09,13.015891132893811,4,2.0,0.0,2430,1.0,98038,8,1961
3396,Good,2014-08-28,13.38472764187182,3,1.0,0.0,1300,1.0,98004,7,1953
3397,Average,2014-07-16,13.203253725729002,4,2.5,0.0,2360,2.0,98077,8,1977
3398,Average,2014-09-19,12.644166273130065,3,1.5,0.0,1200,1.0,98045,7,1985
3399,Average,2014-12-05,11.652687407345388,2,1.0,0.0,1000,1.0,98001,5,1913
3400,Good,2014-12-31,12.309080395604402,2,1.5,0.0,1556,1.0,98032,7,1957
3401,Good,2015-01-27,13.495305293806933,3,2.5,0.0,1890,1.5,98107,8,1915
3402,Good,2014-11-19,13.151922179645874,3,1.75,0.0,1810,1.0,98116,7,1926
3403,Average,2014-08-26,13.53579665516167,4,2.5,0.0,2730,2.0,98006,9,1991
3404,Very Good,2014-05-27,14.266586177324491,4,3.75,0.0,3070,2.0,98112,9,1927
3405,Good,2014-05-21,12.999065161059836,4,2.25,0.0,2080,1.0,98074,8,1979
3406,Good,2014-07-02,12.468436909997665,4,2.0,0.0,1620,2.0,98031,7,1975
3407,Good,2014-09-10,12.873902018105829,2,1.75,0.0,1150,1.0,98102,7,1923
3408,Average,2014-07-01,13.03789422077788,2,1.0,0.0,1250,1.0,98117,7,1929
3409,Very Good,2014-09-30,12.706847933442663,3,1.5,0.0,1430,1.0,98155,7,1948
3410,Average,2014-11-03,12.14950229404178,2,1.0,0.0,790,1.0,98168,6,1944
3411,Good,2014-12-11,12.542544882151386,3,1.0,0.0,1200,1.5,98030,7,1954
3412,Fair,2014-05-05,12.89921982609012,2,1.75,0.0,2110,1.0,98155,7,1948
3413,Very Good,2015-03-25,12.815838217151068,4,2.0,0.0,3160,1.0,98056,6,1942
3414,Good,2014-06-09,12.873902018105829,4,1.75,0.0,2700,1.5,98058,8,1968
3415,Average,2014-09-30,12.409013489526863,2,1.0,0.0,820,1.0,98133,6,1945
3416,Good,2014-08-06,12.834681304952548,4,2.5,0.0,1800,1.0,98133,7,1960
3417,Average,2015-01-30,13.049792684569493,5,1.5,0.0,1750,1.0,98033,6,1961
3418,Average,2015-03-12,13.005829561148378,3,2.0,0.0,1540,1.0,98059,7,1997
3419,Average,2015-03-05,12.429216196844383,3,1.0,0.0,1130,1.0,98118,7,1952
3420,Good,2014-10-03,13.072122160967583,3,1.0,0.0,1500,1.0,98133,8,1952
3421,Average,2014-08-04,13.418495646168909,2,1.75,0.0,1600,1.5,98105,8,1940
3422,Average,2014-06-23,12.948009990259552,3,2.0,0.0,1200,1.0,98115,6,1937
3423,Very Good,2014-12-29,13.151922179645874,3,2.0,0.0,1690,1.5,98117,7,1907
3424,Average,2014-11-05,13.504013820746453,4,2.5,0.0,2270,2.0,98052,9,1986
3425,Average,2014-06-05,12.603169503967822,4,2.5,0.0,1910,2.0,98038,7,2005
3426,Average,2014-10-08,13.071070083016778,3,1.5,0.0,1640,1.5,98115,8,1929
3427,Average,2015-05-05,12.933621252807452,4,2.5,0.0,2120,2.0,98019,7,2003
3428,Good,2014-06-26,12.786191095792114,3,1.5,0.0,1400,1.0,98125,6,1952
3429,Good,2014-10-30,12.577463773304586,2,1.0,0.0,760,1.0,98133,6,1950
3430,Good,2015-05-05,13.217673557208654,3,1.0,0.0,1070,1.0,98118,6,1917
3431,Average,2015-04-23,13.008074231002201,3,1.75,0.0,1460,1.0,98028,7,1958
3432,Good,2014-10-15,12.538967060803502,3,1.5,0.0,1280,1.5,98038,5,1932
3433,Average,2014-08-21,12.821258284620408,3,2.25,0.0,1650,2.0,98011,7,1988
3434,Average,2014-10-17,12.283033686666302,3,2.0,0.0,1260,1.0,98188,6,1998
3435,Average,2014-06-21,13.9108207377686,3,2.5,0.0,2200,1.0,98004,7,1952
3436,Very Good,2014-10-20,14.0623706358958,4,2.5,0.0,3560,1.0,98040,8,1977
3437,Average,2015-02-17,12.779873068457553,2,1.5,0.0,1140,1.0,98106,7,1988
3438,Average,2014-09-11,13.457406021215947,4,2.5,0.0,2550,2.0,98008,9,1988
3439,Average,2014-09-02,12.928778628331663,3,2.5,0.0,1553,3.0,98133,8,2014
3440,Average,2015-02-05,12.528156144699286,2,1.0,0.0,1140,1.0,98065,6,1923
3441,Average,2014-09-04,11.512925464970229,2,1.0,0.0,790,1.0,98178,6,1944
3442,Average,2014-07-01,13.769990042662466,4,1.75,0.0,2130,1.5,98119,8,1914
3443,Average,2015-03-29,12.201060103706629,3,1.0,0.0,1390,1.0,98058,7,1958
3444,Average,2014-06-25,13.543701834668783,4,3.5,0.0,4000,2.0,98065,9,2007
3445,Very Good,2014-05-06,12.959844447906553,4,2.0,0.0,1520,1.0,98034,7,1967
3446,Average,2014-11-04,13.210374254727043,2,1.0,0.0,1657,2.0,98116,7,1910
3447,Average,2015-04-20,12.947057155504279,3,1.75,0.0,1680,1.0,98133,7,1976
3448,Very Good,2014-06-23,13.507625778194974,4,2.25,0.0,2270,1.0,98199,8,1954
3449,Average,2015-04-22,14.0225247273486,2,2.5,0.0,2470,3.0,98112,11,2011
3450,Average,2014-07-07,13.005829561148378,2,2.0,0.0,1240,2.0,98117,7,1985
3451,Average,2015-01-06,13.407542319637992,3,2.0,0.0,1740,1.0,98045,8,1974
3452,Average,2015-03-17,14.070152776337855,5,3.5,0.0,4090,1.0,98034,11,2002
3453,Average,2014-12-08,13.139220494470752,4,2.75,0.0,2520,2.0,98074,8,1979
3454,Average,2014-12-10,12.754049534926956,5,1.0,0.0,1340,1.5,98155,8,1934
3455,Average,2015-01-13,12.24288661865289,3,1.0,0.0,1640,1.0,98042,7,1968
3456,Good,2014-12-04,13.892471599100402,4,2.5,0.0,3000,1.0,98040,8,1969
3457,Good,2014-11-10,13.369223455335854,3,1.0,0.0,1210,2.0,98112,8,1930
3458,Good,2015-03-23,12.705331632924699,3,1.0,0.0,1810,1.0,98070,7,1941
3459,Average,2014-10-21,13.038981768465277,4,2.75,0.0,2200,1.0,98028,8,1979
3460,Average,2014-06-30,14.0225247273486,3,1.75,0.0,2200,1.5,98004,8,1948
3461,Good,2014-11-20,13.5985975564007,5,3.0,0.0,2350,2.0,98118,7,1924
3462,Average,2014-12-18,12.206072645530174,3,1.5,0.0,1090,1.0,98042,6,1963
3463,Average,2015-02-17,13.527428405491154,3,1.75,0.0,2280,1.0,98059,8,1977
3464,Good,2014-12-15,13.190022025878143,2,1.0,0.0,1520,1.0,98117,7,1927
3465,Good,2014-10-28,12.706847933442663,3,2.25,0.0,1620,1.0,98178,7,1950
3466,Good,2014-07-30,13.079873325783376,3,2.0,0.0,1510,1.5,98116,7,1928
3467,Average,2014-05-13,12.829333698625952,5,2.5,0.0,3001,2.0,98042,8,2006
3468,Good,2015-03-19,12.779873068457553,4,1.5,0.0,2020,1.0,98178,7,1953
3469,Average,2014-06-02,12.524526376648708,3,2.0,0.0,1380,1.0,98038,7,2008
3470,Average,2014-06-20,12.84792653170257,3,1.5,0.0,1520,1.0,98136,7,1949
3471,Good,2015-02-09,12.94084150078094,2,1.75,0.0,1090,1.0,98105,7,1915
3472,Average,2014-10-21,13.972514306773938,5,3.75,0.0,4220,2.0,98075,11,2004
3473,Average,2014-09-26,13.302181803980165,3,2.25,0.0,2520,1.0,98074,10,1978
3474,Very Good,2014-06-02,13.351886535682578,3,2.0,0.0,1760,1.0,98199,7,1920
3475,Average,2014-10-09,12.332485007884612,2,1.0,0.0,930,1.0,98168,6,1957
3476,Good,2014-12-31,14.0225247273486,4,2.5,0.0,2600,1.5,98177,9,1939
3477,Very Good,2015-02-03,12.936033799212835,3,2.25,0.0,2180,1.0,98056,8,1979
3478,Average,2015-04-22,13.296316684527767,3,2.5,0.0,1910,2.0,98029,8,2001
3479,Very Good,2014-10-28,12.25462468611234,3,1.75,0.0,1100,1.0,98042,6,1968
3480,Average,2015-05-07,13.249876697703288,3,1.75,0.0,1760,1.0,98053,7,1973
3481,Average,2014-10-21,11.694413341015606,2,1.0,0.0,700,1.0,98178,6,1951
3482,Good,2014-08-26,12.240474072247506,3,1.0,0.0,1080,1.0,98023,7,1962
3483,Average,2014-12-15,12.180754837545884,3,1.0,0.0,1070,1.0,98001,7,1967
3484,Average,2014-06-24,12.691426603322494,3,1.5,0.0,1460,1.0,98166,7,1955
3485,Good,2014-12-22,12.254862809699606,1,1.0,0.0,1050,1.0,98133,6,1947
3486,Average,2015-04-25,13.892471599100402,4,2.75,0.0,3160,2.0,98053,9,1995
3487,Average,2014-12-04,12.69185119389127,4,1.0,0.0,1400,1.0,98108,7,1954
3488,Good,2015-01-16,13.579788224443204,4,3.0,0.0,3120,2.0,98058,8,1977
3489,Average,2014-11-25,11.918390573078392,2,1.0,0.0,720,1.0,98058,5,1982
3490,Average,2014-10-30,13.579788224443204,3,3.0,0.0,2840,2.0,98059,10,1999
3491,Average,2014-05-12,12.449018824140563,2,1.0,0.0,1220,1.0,98126,6,1910
3492,Very Good,2014-11-07,13.454540689742661,4,3.0,0.0,2820,1.5,98117,7,1928
3493,Good,2014-11-04,13.033532163697712,2,1.0,0.0,840,1.0,98117,7,1908
3494,Very Good,2014-05-19,13.444446876573442,3,2.0,0.0,1610,1.5,98115,8,1940
3495,Average,2015-03-11,13.781953774435431,4,3.25,0.0,1860,2.0,98103,9,1917
3496,Good,2015-04-29,13.795307850646754,4,1.75,0.0,2260,1.0,98040,9,1968
3497,Good,2014-05-21,13.336538835312188,4,2.75,0.0,2450,2.0,98059,9,1988
3498,Average,2014-10-13,12.871334622600584,2,1.0,0.0,850,1.0,98103,6,1910
3499,Average,2014-12-10,13.122363377404328,3,1.0,0.0,1800,1.0,98118,7,1964
3500,Good,2014-09-26,13.251635713108469,4,1.75,0.0,1230,1.0,98004,7,1950
3501,Good,2014-07-28,12.959844447906553,4,2.25,0.0,2060,1.0,98034,7,1967
3502,Good,2014-05-21,13.36138027787483,4,2.25,0.0,2750,1.0,98118,8,1948
3503,Good,2014-05-19,12.45488394359296,2,1.0,0.0,1120,1.0,98070,6,1980
3504,Average,2015-01-23,13.45166712454693,4,2.5,0.0,3010,2.0,98028,8,2005
3505,Average,2014-07-30,13.190022025878143,4,1.5,0.0,1580,1.5,98107,7,1945
3506,Average,2015-04-10,13.026292908653595,4,2.5,0.0,2630,2.0,98059,8,2004
3507,Average,2015-01-23,12.944432168911668,2,1.0,0.0,790,1.0,98117,6,1943
3508,Good,2014-06-05,13.527761816623505,4,2.75,0.0,3110,2.0,98072,9,1983
3509,Average,2014-10-19,12.732279371334467,3,1.75,0.0,2130,1.0,98070,8,1999
3510,Average,2014-07-22,14.038654109278484,4,3.75,0.0,4520,1.5,98040,10,1992
3511,Good,2014-07-11,12.611371073081239,3,2.5,0.0,1600,2.0,98001,8,1993
3512,Average,2014-07-31,12.691580461311874,4,1.75,0.0,1950,1.0,98168,7,1963
3513,Average,2014-08-26,12.980799813082541,4,3.0,0.0,2010,2.0,98011,8,1973
3514,Very Good,2014-07-01,12.703661042514144,4,1.75,0.0,2550,1.0,98058,7,1978
3515,Good,2014-05-19,14.557447902693651,5,3.75,0.0,5340,2.5,98144,10,1912
3516,Average,2015-04-29,13.253391639810733,4,2.0,0.0,2000,2.0,98075,8,1978
3517,Average,2014-09-16,13.594863886848652,3,2.25,0.0,2170,2.0,98103,8,2014
3518,Average,2014-10-24,13.17115354157376,3,1.0,0.0,1550,1.5,98103,7,1918
3519,Good,2015-02-02,13.458835614025542,6,3.0,0.0,2790,2.5,98119,8,1907
3520,Average,2015-03-19,12.765688433465597,3,1.75,0.0,1980,1.0,98042,6,1956
3521,Average,2015-02-18,12.533576212168626,2,1.5,0.0,1190,3.0,98133,7,2005
3522,Good,2014-05-12,14.27293540500315,5,2.75,0.0,3650,1.0,98004,10,1975
3523,Very Good,2014-09-19,12.180754837545884,3,1.0,0.0,1510,1.5,98022,6,1913
3524,Average,2014-08-21,12.310432660854417,3,2.0,0.0,1200,1.0,98002,7,1968
3525,Good,2015-04-16,13.670484785914017,5,3.0,0.0,2830,1.0,98040,8,1979
3526,Very Good,2014-05-09,13.005829561148378,4,2.0,0.0,1650,1.0,98144,7,1959
3527,Average,2014-12-09,13.113927898583228,4,1.5,0.0,1710,1.5,98115,7,1924
3528,Average,2015-04-03,13.214942558697421,3,1.0,0.0,1740,1.5,98122,7,1924
3529,Good,2014-05-07,12.644327576461329,3,1.75,0.0,1840,1.0,98058,7,1974
3530,Good,2014-07-11,12.230765258120545,3,1.5,0.0,1820,1.0,98055,7,1962
3531,Average,2014-09-10,13.060487973686241,5,3.75,0.0,3860,2.0,98038,7,2003
3532,Average,2015-04-23,12.971540487669746,3,1.5,0.0,1810,1.5,98010,7,2002
3533,Average,2015-05-01,12.644327576461329,2,2.0,0.0,1030,3.0,98125,7,1999
3534,Good,2015-03-25,12.779873068457553,4,1.0,0.0,1410,1.5,98133,7,1953
3535,Good,2015-01-27,13.339891189932903,5,2.5,0.0,2140,1.0,98166,8,1968
3536,Average,2014-06-10,12.072541252905651,6,1.5,0.0,1930,1.0,98146,7,1971
3537,Average,2015-01-07,12.694652660348845,6,1.5,0.0,1930,1.0,98146,7,1971
3538,Average,2014-09-12,13.444446876573442,4,3.5,0.0,1930,1.5,98116,7,1920
3539,Average,2014-08-19,12.721885810807203,4,2.5,0.0,2210,2.0,98003,8,2003
3540,Average,2015-02-24,12.190959007720126,4,1.0,0.0,1360,1.0,98188,7,1961
3541,Average,2014-07-03,12.652359748158593,3,1.75,0.0,1830,1.0,98055,7,1950
3542,Very Good,2014-10-29,12.985397522331171,3,2.25,0.0,2120,1.0,98155,7,1959
3543,Average,2014-10-01,13.835313185260453,4,2.5,0.0,2700,2.0,98103,8,2002
3544,Average,2014-08-26,13.5985975564007,4,2.5,0.0,3160,2.0,98006,9,1992
3545,Good,2015-01-05,13.388454534525607,4,2.25,0.0,2770,2.0,98074,8,1979
3546,Good,2014-10-18,13.825460888817442,3,2.5,0.0,2240,1.0,98005,9,1945
3547,Average,2014-11-06,12.779873068457553,4,2.5,0.0,2570,2.0,98092,9,1999
3548,Average,2014-07-29,12.720541624210963,2,1.0,0.0,880,1.0,98133,7,1939
3549,Average,2014-07-08,13.231217782316412,3,2.25,0.0,1820,2.0,98052,8,1984
3550,Average,2014-11-03,12.533576212168626,4,2.25,0.0,1660,1.0,98188,7,1963
3551,Average,2014-07-07,12.611537753638338,4,3.0,0.0,2200,1.0,98058,6,1960
3552,Good,2015-02-25,12.691580461311874,4,1.0,0.0,1640,1.5,98133,7,1928
3553,Average,2015-03-19,12.905450375840756,4,2.0,0.0,1650,1.0,98144,7,1951
3554,Good,2014-08-20,13.041153321978786,3,1.75,0.0,1420,1.0,98007,7,1963
3555,Average,2015-03-27,13.199324418540456,3,1.0,0.0,1270,1.5,98103,7,1926
3556,Good,2015-03-16,12.86099861326992,3,1.0,0.0,1070,1.0,98108,7,1971
3557,Average,2014-07-08,13.081541382884074,2,1.0,0.0,1060,1.0,98103,7,1924
3558,Good,2014-06-09,13.199231821660906,3,2.25,0.0,2190,1.0,98056,8,1963
3559,Average,2014-07-18,13.178743710840436,3,2.25,0.0,1940,2.0,98024,9,1990
3560,Average,2014-08-20,12.94084150078094,3,2.5,0.0,1300,2.0,98199,7,2008
3561,Average,2015-02-17,12.911642346088676,3,1.5,0.0,1330,1.0,98027,7,1966
3562,Good,2014-07-23,12.608198852372823,3,2.25,0.0,1940,1.0,98023,8,1966
3563,Average,2014-08-13,12.608198852372823,3,1.75,0.0,2100,1.0,98001,7,1983
3564,Average,2014-05-14,12.827240356297954,3,1.0,0.0,1290,1.0,98136,7,1951
3565,Good,2014-05-22,13.111100185125618,2,1.75,0.0,1560,1.0,98109,6,1904
3566,Average,2014-09-24,12.542544882151386,3,1.75,0.0,2630,1.0,98055,7,1958
3567,Average,2014-11-21,12.535196520381616,3,2.5,0.0,2100,2.0,98023,7,1992
